	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AA943096_at	164.6	A	0.320830	-0.1	NC	0.500000	rc_AA943096 EST198595 Rattus norvegicus cDNA, 3  end /clone=RBRAF05 /clone_end=3  /gb=AA943096 /gi=3103012 /ug=Rn.7502 /len=366
rc_AA943097_at	34.6	A	0.765443	-1.4	NC	0.500000	rc_AA943097 EST198596 Rattus norvegicus cDNA, 3  end /clone=RBRAF06 /clone_end=3  /gb=AA943097 /gi=3103013 /ug=Rn.7503 /len=543
rc_AA943099_at	784.4	P	0.002228	0.2	NC	0.500000	rc_AA943099 EST198598 Rattus norvegicus cDNA, 3  end /clone=RBRAF09 /clone_end=3  /gb=AA943099 /gi=3103015 /ug=Rn.5794 /len=439
rc_AA943099_g_at	1137.6	P	0.000805	0.2	NC	0.500000	rc_AA943099 EST198598 Rattus norvegicus cDNA, 3  end /clone=RBRAF09 /clone_end=3  /gb=AA943099 /gi=3103015 /ug=Rn.5794 /len=439
rc_AA943100_at	641.7	P	0.017001	0.1	NC	0.500000	rc_AA943100 EST198599 Rattus norvegicus cDNA, 3  end /clone=RBRAF10 /clone_end=3  /gb=AA943100 /gi=3103016 /ug=Rn.17680 /len=513
rc_AA943101_at	100.6	A	0.234557	-0.1	NC	0.500000	rc_AA943101 EST198600 Rattus norvegicus cDNA, 3  end /clone=RBRAF11 /clone_end=3  /gb=AA943101 /gi=3103017 /ug=Rn.17489 /len=632
rc_AA943103_at	5375.9	P	0.000266	0.1	NC	0.500000	rc_AA943103 EST198602 Rattus norvegicus cDNA, 3  end /clone=RBRAF14 /clone_end=3  /gb=AA943103 /gi=3103019 /ug=Rn.7504 /len=603
rc_AA943109_at	24.8	A	0.872355	-1.5	NC	0.514916	rc_AA943109 EST198608 Rattus norvegicus cDNA, 3  end /clone=RBRAF20 /clone_end=3  /gb=AA943109 /gi=3103025 /ug=Rn.7505 /len=562
rc_AA943109_g_at	268.5	A	0.302547	0.1	NC	0.500000	rc_AA943109 EST198608 Rattus norvegicus cDNA, 3  end /clone=RBRAF20 /clone_end=3  /gb=AA943109 /gi=3103025 /ug=Rn.7505 /len=562
rc_AA943110_at	145.2	P	0.013092	-0.0	NC	0.673203	rc_AA943110 EST198609 Rattus norvegicus cDNA, 3  end /clone=RBRAF21 /clone_end=3  /gb=AA943110 /gi=3103026 /ug=Rn.7337 /len=605
rc_AA943114_at	65.0	A	0.541184	-1.0	NC	0.737535	rc_AA943114 EST198613 Rattus norvegicus cDNA, 3  end /clone=RBRAF25 /clone_end=3  /gb=AA943114 /gi=3103030 /ug=Rn.904 /len=602
rc_AA943116_at	328.1	P	0.035163	-0.1	NC	0.500000	rc_AA943116 EST198615 Rattus norvegicus cDNA, 3  end /clone=RBRAF27 /clone_end=3  /gb=AA943116 /gi=3103032 /ug=Rn.95 /len=612
rc_AA943117_at	310.7	A	0.250724	-0.1	NC	0.950067	rc_AA943117 EST198616 Rattus norvegicus cDNA, 3  end /clone=RBRAF28 /clone_end=3  /gb=AA943117 /gi=3103033 /ug=Rn.7419 /len=650
rc_AA943119_at	819.2	P	0.027860	-0.5	D	0.999533	rc_AA943119 EST198618 Rattus norvegicus cDNA, 3  end /clone=RBRAF30 /clone_end=3  /gb=AA943119 /gi=3103035 /ug=Rn.7506 /len=521
rc_AA943120_at	1346.8	P	0.000562	-0.4	D	0.999981	rc_AA943120 EST198619 Rattus norvegicus cDNA, 3  end /clone=RBRAF31 /clone_end=3  /gb=AA943120 /gi=3103036 /ug=Rn.2153 /len=564
rc_AA943121_at	994.5	P	0.000219	-0.4	D	0.999999	rc_AA943121 EST198620 Rattus norvegicus cDNA, 3  end /clone=RBRAF32 /clone_end=3  /gb=AA943121 /gi=3103037 /ug=Rn.22870 /len=515
rc_AA943122_at	244.7	A	0.602006	-0.5	NC	0.789317	rc_AA943122 EST198621 Rattus norvegicus cDNA, 3  end /clone=RBRAF33 /clone_end=3  /gb=AA943122 /gi=3103038 /ug=Rn.2747 /len=489
rc_AA943122_g_at	939.0	P	0.000219	-0.4	D	0.999643	rc_AA943122 EST198621 Rattus norvegicus cDNA, 3  end /clone=RBRAF33 /clone_end=3  /gb=AA943122 /gi=3103038 /ug=Rn.2747 /len=489
rc_AA943125_at	86.9	A	0.284747	-0.4	NC	0.948111	rc_AA943125 EST198624 Rattus norvegicus cDNA, 3  end /clone=RBRAF38 /clone_end=3  /gb=AA943125 /gi=3103041 /ug=Rn.7508 /len=551
rc_AA943126_at	98.8	A	0.520620	-0.4	NC	0.500000	rc_AA943126 EST198625 Rattus norvegicus cDNA, 3  end /clone=RBRAF39 /clone_end=3  /gb=AA943126 /gi=3103042 /ug=Rn.17265 /len=582
rc_AA943129_at	789.1	P	0.001354	0.0	NC	0.645790	rc_AA943129 EST198628 Rattus norvegicus cDNA, 3  end /clone=RBRAF42 /clone_end=3  /gb=AA943129 /gi=3103045 /ug=Rn.7332 /len=572
rc_AA943131_at	343.1	A	0.107301	0.0	NC	0.500000	rc_AA943131 EST198630 Rattus norvegicus cDNA, 3  end /clone=RBRAF44 /clone_end=3  /gb=AA943131 /gi=3103047 /ug=Rn.3337 /len=506
rc_AA943133_at	15.7	A	0.983000	-1.0	NC	0.500000	rc_AA943133 EST198632 Rattus norvegicus cDNA, 3  end /clone=RBRAF46 /clone_end=3  /gb=AA943133 /gi=3103049 /ug=Rn.7509 /len=587
rc_AA943135_at	1396.9	P	0.039365	-0.1	NC	0.925041	rc_AA943135 EST198634 Rattus norvegicus cDNA, 3  end /clone=RBRAF48 /clone_end=3  /gb=AA943135 /gi=3103051 /ug=Rn.19981 /len=619
rc_AA943147_at	15.9	A	0.824011	-1.3	NC	0.500000	rc_AA943147 EST198646 Rattus norvegicus cDNA, 3  end /clone=RBRAF61 /clone_end=3  /gb=AA943147 /gi=3103063 /ug=Rn.7512 /len=437
rc_AA943149_at	709.7	P	0.000388	-0.0	NC	0.500000	rc_AA943149 EST198648 Rattus norvegicus cDNA, 3  end /clone=RBRAF66 /clone_end=3  /gb=AA943149 /gi=3103065 /ug=Rn.7346 /len=522
rc_AA943152_at	116.0	A	0.458816	-0.7	NC	0.500000	rc_AA943152 EST198651 Rattus norvegicus cDNA, 3  end /clone=RBRAF71 /clone_end=3  /gb=AA943152 /gi=3103068 /ug=Rn.7514 /len=490
rc_AA943153_at	18640.8	P	0.000219	0.2	NC	0.500000	rc_AA943153 EST198652 Rattus norvegicus cDNA, 3  end /clone=RBRAF75 /clone_end=3  /gb=AA943153 /gi=3103069 /ug=Rn.24412 /len=459
rc_AA943159_at	410.6	P	0.027860	0.0	NC	0.500000	rc_AA943159 EST198658 Rattus norvegicus cDNA, 3  end /clone=RBRAF84 /clone_end=3  /gb=AA943159 /gi=3103075 /ug=Rn.8247 /len=488
rc_AA943160_at	59.1	A	0.824011	0.4	NC	0.194853	rc_AA943160 EST198659 Rattus norvegicus cDNA, 3  end /clone=RBRAF87 /clone_end=3  /gb=AA943160 /gi=3103076 /ug=Rn.7515 /len=370
rc_AA943167_at	484.2	A	0.458816	0.2	NC	0.500000	rc_AA943167 EST198666 Rattus norvegicus cDNA, 3  end /clone=RBRAG01 /clone_end=3  /gb=AA943167 /gi=3103083 /ug=Rn.20625 /len=390
rc_AA943182_at	1151.7	P	0.035163	0.2	NC	0.500000	rc_AA943182 EST198681 Rattus norvegicus cDNA, 3  end /clone=RBRAG20 /clone_end=3  /gb=AA943182 /gi=3103098 /ug=Rn.24141 /len=402
rc_AA943190_s_at	779.0	P	0.000959	-0.1	NC	0.925041	rc_AA943190 EST198689 Rattus norvegicus cDNA, 3  end /clone=RBRAG28 /clone_end=3  /gb=AA943190 /gi=3103106 /ug=Rn.1949 /len=399
rc_AA943195_at	624.5	P	0.000673	0.1	NC	0.500000	rc_AA943195 EST198694 Rattus norvegicus cDNA, 3  end /clone=RBRAG33 /clone_end=3  /gb=AA943195 /gi=3103111 /ug=Rn.21456 /len=431
rc_AA943202_at	380.7	P	0.001602	0.1	NC	0.500000	rc_AA943202 EST198701 Rattus norvegicus cDNA, 3  end /clone=RBRAG40 /clone_end=3  /gb=AA943202 /gi=3103118 /ug=Rn.7524 /len=401
rc_AA943208_at	617.3	M	0.048995	-0.1	NC	0.500000	rc_AA943208 EST198707 Rattus norvegicus cDNA, 3  end /clone=RBRAG46 /clone_end=3  /gb=AA943208 /gi=3103124 /ug=Rn.824 /len=407
rc_AA943217_f_at	3122.6	P	0.007543	0.2	NC	0.500000	rc_AA943217 EST198716 Rattus norvegicus cDNA, 3  end /clone=RBRAG59 /clone_end=3  /gb=AA943217 /gi=3103133 /ug=Rn.7527 /len=115
rc_AA943229_s_at	172.8	P	0.006532	-0.5	NC	0.966561	rc_AA943229 EST198728 Rattus norvegicus cDNA, 3  end /clone=RBRAG76 /clone_end=3  /gb=AA943229 /gi=3103145 /ug=Rn.7531 /len=229
rc_AA943229_r_at	3165.4	P	0.031336	0.3	NC	0.500000	rc_AA943229 EST198728 Rattus norvegicus cDNA, 3  end /clone=RBRAG76 /clone_end=3  /gb=AA943229 /gi=3103145 /ug=Rn.7531 /len=229
rc_AA943234_at	39.8	A	0.749276	0.4	NC	0.500000	rc_AA943234 EST198733 Rattus norvegicus cDNA, 3  end /clone=RBRAG82 /clone_end=3  /gb=AA943234 /gi=3103150 /ug=Rn.5909 /len=422
rc_AA943238_at	599.9	P	0.002228	0.0	NC	0.500000	rc_AA943238 EST198737 Rattus norvegicus cDNA, 3  end /clone=RBRAG88 /clone_end=3  /gb=AA943238 /gi=3103154 /ug=Rn.7533 /len=399
rc_AA943240_at	408.8	P	0.004180	-0.7	NC	0.935065	rc_AA943240 EST198739 Rattus norvegicus cDNA, 3  end /clone=RBRAG90 /clone_end=3  /gb=AA943240 /gi=3103156 /ug=Rn.22965 /len=405
rc_AA943241_at	1478.5	P	0.000388	-0.3	D	0.999983	rc_AA943241 EST198740 Rattus norvegicus cDNA, 3  end /clone=RBRAG92 /clone_end=3  /gb=AA943241 /gi=3103157 /ug=Rn.7534 /len=301
rc_AA943244_at	748.5	A	0.302547	-0.3	NC	0.970527	rc_AA943244 EST198743 Rattus norvegicus cDNA, 3  end /clone=RBRAG96 /clone_end=3  /gb=AA943244 /gi=3103160 /ug=Rn.16709 /len=436
rc_AA943261_at	294.3	P	0.013092	-0.3	NC	0.976265	rc_AA943261 EST198760 Rattus norvegicus cDNA, 3  end /clone=RBRAH27 /clone_end=3  /gb=AA943261 /gi=3103177 /ug=Rn.7536 /len=489
rc_AA943262_at	75.9	A	0.438361	-1.7	NC	0.965146	rc_AA943262 EST198761 Rattus norvegicus cDNA, 3  end /clone=RBRAH28 /clone_end=3  /gb=AA943262 /gi=3103178 /ug=Rn.7537 /len=416
rc_AA943273_at	361.4	P	0.000959	-0.4	D	0.998613	rc_AA943273 EST198772 Rattus norvegicus cDNA, 3  end /clone=RBRAH41 /clone_end=3  /gb=AA943273 /gi=3103189 /ug=Rn.7335 /len=430
rc_AA943280_f_at	1051.6	P	0.006532	-0.1	NC	0.967929	rc_AA943280 EST198779 Rattus norvegicus cDNA, 3  end /clone=RBRAH50 /clone_end=3  /gb=AA943280 /gi=3103196 /ug=Rn.7540 /len=186
rc_AA943281_at	130.7	P	0.009985	-0.1	NC	0.962166	rc_AA943281 EST198780 Rattus norvegicus cDNA, 3  end /clone=RBRAH51 /clone_end=3  /gb=AA943281 /gi=3103197 /ug=Rn.3408 /len=413
rc_AA943295_at	301.4	A	0.520620	1.7	NC	0.500000	rc_AA943295 EST198794 Rattus norvegicus cDNA, 3  end /clone=RBRAH74 /clone_end=3  /gb=AA943295 /gi=3103211 /ug=Rn.7542 /len=370
rc_AA943304_at	534.2	P	0.009985	-0.1	NC	0.673203	rc_AA943304 EST198803 Rattus norvegicus cDNA, 3  end /clone=RBRAH90 /clone_end=3  /gb=AA943304 /gi=3103220 /ug=Rn.5041 /len=503
rc_AA943304_g_at	415.4	P	0.000388	-0.0	NC	0.500000	rc_AA943304 EST198803 Rattus norvegicus cDNA, 3  end /clone=RBRAH90 /clone_end=3  /gb=AA943304 /gi=3103220 /ug=Rn.5041 /len=503
rc_AA943307_at	868.5	A	0.250724	0.1	NC	0.500000	rc_AA943307 EST198806 Rattus norvegicus cDNA, 3  end /clone=RBRAI02 /clone_end=3  /gb=AA943307 /gi=3103223 /ug=Rn.2801 /len=402
rc_AA943307_g_at	1189.5	P	0.031336	0.3	NC	0.500000	rc_AA943307 EST198806 Rattus norvegicus cDNA, 3  end /clone=RBRAI02 /clone_end=3  /gb=AA943307 /gi=3103223 /ug=Rn.2801 /len=402
rc_AA943314_at	328.3	A	0.189687	-0.1	NC	0.500000	rc_AA943314 EST198813 Rattus norvegicus cDNA, 3  end /clone=RBRAI10 /clone_end=3  /gb=AA943314 /gi=3103230 /ug=Rn.7399 /len=411
rc_AA943334_at	111.4	A	0.765443	0.2	NC	0.440543	rc_AA943334 EST198833 Rattus norvegicus cDNA, 3  end /clone=RBRAI35 /clone_end=3  /gb=AA943334 /gi=3103250 /ug=Rn.22967 /len=376
rc_AA943334_g_at	53.7	A	0.795978	-1.3	NC	0.679919	rc_AA943334 EST198833 Rattus norvegicus cDNA, 3  end /clone=RBRAI35 /clone_end=3  /gb=AA943334 /gi=3103250 /ug=Rn.22967 /len=376
rc_AA943348_at	1213.8	P	0.000266	-0.0	NC	0.500000	rc_AA943348 EST198847 Rattus norvegicus cDNA, 3  end /clone=RBRAI50 /clone_end=3  /gb=AA943348 /gi=3103264 /ug=Rn.21679 /len=437
rc_AA943352_at	122.5	A	0.602006	0.4	NC	0.500000	rc_AA943352 EST198851 Rattus norvegicus cDNA, 3  end /clone=RBRAI54 /clone_end=3  /gb=AA943352 /gi=3103268 /ug=Rn.7548 /len=115
rc_AA943361_at	220.9	A	0.234557	-0.2	NC	0.894866	rc_AA943361 EST198860 Rattus norvegicus cDNA, 3  end /clone=RBRAI64 /clone_end=3  /gb=AA943361 /gi=3103277 /ug=Rn.7551 /len=469
rc_AA943363_at	2788.3	P	0.001354	0.1	NC	0.500000	rc_AA943363 EST198862 Rattus norvegicus cDNA, 3  end /clone=RBRAI66 /clone_end=3  /gb=AA943363 /gi=3103279 /ug=Rn.7552 /len=463
rc_AA943364_at	23.1	A	0.749276	-0.8	NC	0.500000	rc_AA943364 EST198863 Rattus norvegicus cDNA, 3  end /clone=RBRAI67 /clone_end=3  /gb=AA943364 /gi=3103280 /ug=Rn.8079 /len=457
rc_AA943364_g_at	151.5	A	0.234557	0.2	NC	0.500000	rc_AA943364 EST198863 Rattus norvegicus cDNA, 3  end /clone=RBRAI67 /clone_end=3  /gb=AA943364 /gi=3103280 /ug=Rn.8079 /len=457
rc_AA943367_at	17.7	A	0.861235	0.5	NC	0.500000	rc_AA943367 EST198866 Rattus norvegicus cDNA, 3  end /clone=RBRAI70 /clone_end=3  /gb=AA943367 /gi=3103283 /ug=Rn.22968 /len=497
rc_AA943374_at	32.4	A	0.732537	0.2	NC	0.559457	rc_AA943374 EST198873 Rattus norvegicus cDNA, 3  end /clone=RBRAI77 /clone_end=3  /gb=AA943374 /gi=3103290 /ug=Rn.17272 /len=417
rc_AA943379_at	466.0	A	0.098054	0.1	NC	0.772757	rc_AA943379 EST198878 Rattus norvegicus cDNA, 3  end /clone=RBRAI82 /clone_end=3  /gb=AA943379 /gi=3103295 /ug=Rn.7555 /len=353
rc_AA943385_at	13.6	A	0.892699	-0.9	NC	0.500000	rc_AA943385 EST198884 Rattus norvegicus cDNA, 3  end /clone=RBRAI88 /clone_end=3  /gb=AA943385 /gi=3103301 /ug=Rn.22969 /len=412
rc_AA943395_s_at	532.3	P	0.000959	0.0	NC	0.772757	rc_AA943395 EST198894 Rattus norvegicus cDNA, 3  end /clone=RBRAJ04 /clone_end=3  /gb=AA943395 /gi=3103311 /ug=Rn.3825 /len=447
rc_AA943397_at	222.1	A	0.089405	-0.0	NC	0.566823	rc_AA943397 EST198896 Rattus norvegicus cDNA, 3  end /clone=RBRAJ06 /clone_end=3  /gb=AA943397 /gi=3103313 /ug=Rn.17273 /len=419
rc_AA943397_g_at	574.3	P	0.000219	0.2	NC	0.500000	rc_AA943397 EST198896 Rattus norvegicus cDNA, 3  end /clone=RBRAJ06 /clone_end=3  /gb=AA943397 /gi=3103313 /ug=Rn.17273 /len=419
rc_AA943401_at	260.4	M	0.048995	-0.4	NC	0.552070	rc_AA943401 EST198900 Rattus norvegicus cDNA, 3  end /clone=RBRAJ10 /clone_end=3  /gb=AA943401 /gi=3103317 /ug=Rn.23877 /len=445
rc_AA943402_at	39.5	A	0.715253	-0.8	NC	0.170131	rc_AA943402 EST198901 Rattus norvegicus cDNA, 3  end /clone=RBRAJ11 /clone_end=3  /gb=AA943402 /gi=3103318 /ug=Rn.8626 /len=483
rc_AA943409_at	1279.4	P	0.000266	-0.4	D	0.999989	rc_AA943409 EST198908 Rattus norvegicus cDNA, 3  end /clone=RBRAJ31 /clone_end=3  /gb=AA943409 /gi=3103325 /ug=Rn.7558 /len=483
rc_AA943421_at	312.1	A	0.089405	-0.4	NC	0.972947	rc_AA943421 EST198920 Rattus norvegicus cDNA, 3  end /clone=RBRAJ56 /clone_end=3  /gb=AA943421 /gi=3103337 /ug=Rn.7420 /len=451
rc_AA943427_at	102.9	A	0.479380	-0.8	NC	0.638810	rc_AA943427 EST198926 Rattus norvegicus cDNA, 3  end /clone=RBRAJ62 /clone_end=3  /gb=AA943427 /gi=3103343 /ug=Rn.11648 /len=473
rc_AA943432_at	762.3	P	0.000219	-0.6	D	0.999994	rc_AA943432 EST198931 Rattus norvegicus cDNA, 3  end /clone=RBRAJ70 /clone_end=3  /gb=AA943432 /gi=3103348 /ug=Rn.7560 /len=453
rc_AA943434_at	21.0	A	0.715253	0.1	NC	0.500000	rc_AA943434 EST198933 Rattus norvegicus cDNA, 3  end /clone=RBRAJ73 /clone_end=3  /gb=AA943434 /gi=3103350 /ug=Rn.8627 /len=432
rc_AA943436_at	92.3	A	0.162935	1.2	NC	0.500000	rc_AA943436 EST198935 Rattus norvegicus cDNA, 3  end /clone=RBRAJ76 /clone_end=3  /gb=AA943436 /gi=3103352 /ug=Rn.7561 /len=282
rc_AA943440_at	116.3	A	0.320830	0.1	NC	0.500000	rc_AA943440 EST198939 Rattus norvegicus cDNA, 3  end /clone=RBRAJ80 /clone_end=3  /gb=AA943440 /gi=3103356 /ug=Rn.7562 /len=377
rc_AA943444_i_at	112.2	A	0.240088	0.5	NC	0.500000	rc_AA943444 EST198943 Rattus norvegicus cDNA, 3  end /clone=RBRAJ84 /clone_end=3  /gb=AA943444 /gi=3103360 /ug=Rn.7564 /len=104
rc_AA943448_at	14.7	A	0.581931	0.7	NC	0.500000	rc_AA943448 EST198947 Rattus norvegicus cDNA, 3  end /clone=RBRAJ89 /clone_end=3  /gb=AA943448 /gi=3103364 /ug=Rn.22961 /len=445
rc_AA943456_at	285.2	P	0.000562	-0.3	NC	0.982699	rc_AA943456 EST198955 Rattus norvegicus cDNA, 3  end /clone=RBRAK02 /clone_end=3  /gb=AA943456 /gi=3103372 /ug=Rn.7567 /len=465
rc_AA943462_at	109.7	A	0.175989	-0.6	NC	0.755488	rc_AA943462 EST198961 Rattus norvegicus cDNA, 3  end /clone=RBRAK14 /clone_end=3  /gb=AA943462 /gi=3103378 /ug=Rn.22300 /len=456
rc_AA943463_at	2742.8	P	0.000468	-0.1	NC	0.977292	rc_AA943463 EST198962 Rattus norvegicus cDNA, 3  end /clone=RBRAK15 /clone_end=3  /gb=AA943463 /gi=3103379 /ug=Rn.7570 /len=467
rc_AA943494_at	428.1	M	0.048995	0.2	NC	0.500000	rc_AA943494 EST198993 Rattus norvegicus cDNA, 3  end /clone=RBRAK58 /clone_end=3  /gb=AA943494 /gi=3103410 /ug=Rn.18199 /len=423
rc_AA943496_at	272.1	M	0.048995	-0.3	NC	0.500000	rc_AA943496 EST198995 Rattus norvegicus cDNA, 3  end /clone=RBRAK60 /clone_end=3  /gb=AA943496 /gi=3103412 /ug=Rn.7580 /len=427
rc_AA943500_s_at	484.3	P	0.000959	-0.1	NC	0.500000	rc_AA943500 EST198999 Rattus norvegicus cDNA, 3  end /clone=RBRAK64 /clone_end=3  /gb=AA943500 /gi=3103416 /ug=Rn.22972 /len=360
rc_AA943501_at	384.4	A	0.339558	0.5	NC	0.500000	rc_AA943501 EST199000 Rattus norvegicus cDNA, 3  end /clone=RBRAK65 /clone_end=3  /gb=AA943501 /gi=3103417 /ug=Rn.9380 /len=432
rc_AA943505_at	239.1	A	0.218983	0.6	NC	0.500000	rc_AA943505 EST199004 Rattus norvegicus cDNA, 3  end /clone=RBRAK72 /clone_end=3  /gb=AA943505 /gi=3103421 /ug=Rn.22973 /len=405
rc_AA943505_g_at	188.5	A	0.250724	-0.5	NC	0.965146	rc_AA943505 EST199004 Rattus norvegicus cDNA, 3  end /clone=RBRAK72 /clone_end=3  /gb=AA943505 /gi=3103421 /ug=Rn.22973 /len=405
rc_AA943506_at	1253.0	P	0.004863	-0.0	NC	0.848129	rc_AA943506 EST199005 Rattus norvegicus cDNA, 3  end /clone=RBRAK74 /clone_end=3  /gb=AA943506 /gi=3103422 /ug=Rn.7582 /len=512
rc_AA943508_at	365.9	A	0.189687	0.2	NC	0.500000	rc_AA943508 EST199007 Rattus norvegicus cDNA, 3  end /clone=RBRAK78 /clone_end=3  /gb=AA943508 /gi=3103424 /ug=Rn.19929 /len=508
rc_AA943510_at	230.6	P	0.011447	-0.1	NC	0.500000	rc_AA943510 EST199009 Rattus norvegicus cDNA, 3  end /clone=RBRAK80 /clone_end=3  /gb=AA943510 /gi=3103426 /ug=Rn.7583 /len=485
rc_AA943514_at	231.9	A	0.339558	0.1	NC	0.500000	rc_AA943514 EST199013 Rattus norvegicus cDNA, 3  end /clone=RBRAK86 /clone_end=3  /gb=AA943514 /gi=3103430 /ug=Rn.7585 /len=513
rc_AA943524_at	237.3	A	0.339558	0.0	NC	0.500000	rc_AA943524 EST199023 Rattus norvegicus cDNA, 3  end /clone=RBRAL01 /clone_end=3  /gb=AA943524 /gi=3103440 /ug=Rn.7342 /len=541
rc_AA943531_at	1098.7	P	0.003067	0.1	NC	0.500000	rc_AA943531 EST199030 Rattus norvegicus cDNA, 3  end /clone=RBRAL09 /clone_end=3  /gb=AA943531 /gi=3103447 /ug=Rn.9618 /len=597
rc_AA943532_s_at	5962.4	P	0.000266	0.3	NC	0.500000	rc_AA943532 EST199031 Rattus norvegicus cDNA, 3  end /clone=RBRAL11 /clone_end=3  /gb=AA943532 /gi=3103448 /ug=Rn.2458 /len=560
rc_AA943536_at	79.4	A	0.302547	0.1	NC	0.500000	rc_AA943536 EST199035 Rattus norvegicus cDNA, 3  end /clone=RBRAL18 /clone_end=3  /gb=AA943536 /gi=3103452 /ug=Rn.22473 /len=621
rc_AA943537_at	743.6	A	0.066865	0.2	NC	0.500000	rc_AA943537 EST199036 Rattus norvegicus cDNA, 3  end /clone=RBRAL19 /clone_end=3  /gb=AA943537 /gi=3103453 /ug=Rn.7588 /len=556
rc_AA943537_g_at	367.9	A	0.189687	-0.5	NC	0.839168	rc_AA943537 EST199036 Rattus norvegicus cDNA, 3  end /clone=RBRAL19 /clone_end=3  /gb=AA943537 /gi=3103453 /ug=Rn.7588 /len=556
rc_AA943541_at	339.6	A	0.204022	-0.8	NC	0.856752	rc_AA943541 EST199040 Rattus norvegicus cDNA, 3  end /clone=RBRAL26 /clone_end=3  /gb=AA943541 /gi=3103457 /ug=Rn.7589 /len=545
rc_AA943544_at	3388.0	P	0.000266	-0.6	D	1.000000	rc_AA943544 EST199043 Rattus norvegicus cDNA, 3  end /clone=RBRAL29 /clone_end=3  /gb=AA943544 /gi=3103460 /ug=Rn.3515 /len=729
rc_AA943545_at	350.9	P	0.000805	-0.6	D	0.999966	rc_AA943545 EST199044 Rattus norvegicus cDNA, 3  end /clone=RBRAL30 /clone_end=3  /gb=AA943545 /gi=3103461 /ug=Rn.7371 /len=600
rc_AA943546_at	23.9	A	0.918663	-0.6	NC	0.652721	rc_AA943546 EST199045 Rattus norvegicus cDNA, 3  end /clone=RBRAL31 /clone_end=3  /gb=AA943546 /gi=3103462 /ug=Rn.7590 /len=446
rc_AA943548_at	32.2	A	0.602006	-0.2	NC	0.514916	rc_AA943548 EST199047 Rattus norvegicus cDNA, 3  end /clone=RBRAL36 /clone_end=3  /gb=AA943548 /gi=3103464 /ug=Rn.22975 /len=641
rc_AA943550_at	175.5	A	0.218983	0.5	NC	0.477632	rc_AA943550 EST199049 Rattus norvegicus cDNA, 3  end /clone=RBRAL38 /clone_end=3  /gb=AA943550 /gi=3103466 /ug=Rn.7939 /len=530
rc_AA943552_at	22.6	A	0.939581	-1.7	NC	0.500000	rc_AA943552 EST199051 Rattus norvegicus cDNA, 3  end /clone=RBRAL40 /clone_end=3  /gb=AA943552 /gi=3103468 /ug=Rn.7591 /len=642
rc_AA943552_g_at	22.4	A	0.892699	-1.7	NC	0.919605	rc_AA943552 EST199051 Rattus norvegicus cDNA, 3  end /clone=RBRAL40 /clone_end=3  /gb=AA943552 /gi=3103468 /ug=Rn.7591 /len=642
rc_AA943553_at	839.9	P	0.001892	-0.1	NC	0.957311	rc_AA943553 EST199052 Rattus norvegicus cDNA, 3  end /clone=RBRAL42 /clone_end=3  /gb=AA943553 /gi=3103469 /ug=Rn.1074 /len=563
rc_AA943553_g_at	365.4	P	0.000219	-0.4	NC	0.996456	rc_AA943553 EST199052 Rattus norvegicus cDNA, 3  end /clone=RBRAL42 /clone_end=3  /gb=AA943553 /gi=3103469 /ug=Rn.1074 /len=563
rc_AA943558_at	27.3	A	0.849473	0.4	NC	0.500000	rc_AA943558 EST199057 Rattus norvegicus cDNA, 3  end /clone=RBRAL48 /clone_end=3  /gb=AA943558 /gi=3103474 /ug=Rn.7592 /len=555
rc_AA943564_at	288.9	A	0.162935	0.0	NC	0.500000	rc_AA943564 EST199063 Rattus norvegicus cDNA, 3  end /clone=RBRAL55 /clone_end=3  /gb=AA943564 /gi=3103480 /ug=Rn.2128 /len=618
rc_AA943568_at	160.5	A	0.641310	2.3	NC	0.500000	rc_AA943568 EST199067 Rattus norvegicus cDNA, 3  end /clone=RBRAL60 /clone_end=3  /gb=AA943568 /gi=3103484 /ug=Rn.22966 /len=617
rc_AA943569_at	8817.4	P	0.000219	-0.0	NC	0.693175	rc_AA943569 EST199068 Rattus norvegicus cDNA, 3  end /clone=RBRAL61 /clone_end=3  /gb=AA943569 /gi=3103485 /ug=Rn.7596 /len=595
rc_AA943570_at	25.7	A	0.983000	0.4	NC	0.500000	rc_AA943570 EST199069 Rattus norvegicus cDNA, 3  end /clone=RBRAL62 /clone_end=3  /gb=AA943570 /gi=3103486 /ug=Rn.22977 /len=595
rc_AA943573_at	114.3	A	0.284747	-0.3	NC	0.737535	rc_AA943573 EST199072 Rattus norvegicus cDNA, 3  end /clone=RBRAL65 /clone_end=3  /gb=AA943573 /gi=3103489 /ug=Rn.7597 /len=628
rc_AA943576_at	1116.5	P	0.000266	-0.1	NC	0.944016	rc_AA943576 EST199075 Rattus norvegicus cDNA, 3  end /clone=RBRAL68 /clone_end=3  /gb=AA943576 /gi=3103492 /ug=Rn.22059 /len=613
rc_AA943578_at	486.8	A	0.267463	0.3	NC	0.306825	rc_AA943578 EST199077 Rattus norvegicus cDNA, 3  end /clone=RBRAL70 /clone_end=3  /gb=AA943578 /gi=3103494 /ug=Rn.7400 /len=634
