	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
K01721mRNA_s_at	68.0	A	0.500000	-1.0	NC	0.898230	K01721mRNA RATCYP45A Rat P-450(1) variant (phenobarbital-inducible) cytochrome 3  end, flank
K03241cds_s_at	6.8	A	0.975289	-0.4	NC	0.500000	K03241cds RATCYPD45 Rat cytochrome P-450d gene, complete cds
L00320cds_f_at	25.5	A	0.732537	-0.3	NC	0.772757	L00320cds RATCYPB9 Rat cytochrome P-450b (phenobarbital-inducible) gene, exon 9
L02926_s_at	4.1	A	0.824011	-0.3	NC	0.500000	L02926 RATIL10X Rat interleukin 10 (IL-10) mRNA, complete cds
L04485mRNA_s_at	1148.8	P	0.000322	-0.2	NC	0.699711	L04485mRNA RATMAPKK Rattus norvegicus MAP kinase kinase mRNA, complete cds
L14782_s_at	94.5	A	0.250724	0.2	NC	0.500000	L14782 RATLYNATYR Rat lyn A protein tyrosine kinase mRNA, complete cds
L15079mRNA_s_at	152.4	A	0.302547	0.1	NC	0.500000	L15079mRNA RATPGLYCO Rat p-glycoprotein mRNA, complete cds
L16764_s_at	194.9	A	0.150527	-0.4	NC	0.948111	L16764 RATHSP70A Rattus norvegicus heat shock protein 70 (HSP70) mRNA, complete cds
L18889_at	721.2	P	0.000219	-0.2	NC	0.500000	L18889 RATCALNEXI Rattus rattus calnexin mRNA, complete cds
L22190mRNA_at	90.9	P	0.019304	0.3	NC	0.485084	L22190mRNA MUSAMYAFF Mus musculus serum amyloid A protein mRNA, complete cds
L25925_s_at	65.6	A	0.175989	-1.3	NC	0.907849	L25925 RATCYLO2X Rat cyclooxygenase-2 mRNA, complete cds
L26110_at	11.4	A	0.715253	-1.7	NC	0.500000	L26110 RATSETHKIR Rat transforming growth factor beta type I receptor mRNA, complete cds
L27112_s_at	355.4	P	0.000468	0.1	NC	0.500000	L27112 RATSAPKB Rattus norvegicus stress activated protein kinase alpha II mRNA, complete cds
L27129_at	18.8	A	0.641310	-1.5	NC	0.783877	L27129 RATSAPKD Rattus norvegicus stress activated protein kinase gamma isoform, mRNA, 5 end
L32591mRNA_at	3.7	A	0.901946	-3.1	NC	0.922359	L32591mRNA RATGADD45X Rattus norvegicus GADD45 mRNA, complete cds
L32591mRNA_g_at	166.5	P	0.017001	0.1	NC	0.500000	L32591mRNA RATGADD45X Rattus norvegicus GADD45 mRNA, complete cds
L32601_s_at	96.3	A	0.358690	-0.1	NC	0.755488	L32601 RAT20AHYDE Rat 20 alpha-hydroxysteroid dehydrogenase mRNA, complete cds
L36460mRNA_at	15.0	A	0.621816	-0.2	NC	0.772757	L36460mRNA RATIL9A Rattus norvegicus IL-9 mRNA fragment
L37333_s_at	21.6	A	0.990015	-0.5	NC	0.500000	L37333 RATG6PASE Rattus norvegicus glucose-6-phosphatase (G6Pase) mRNA, complete cds
L41275cds_s_at	27.1	A	0.749276	-0.1	NC	0.500000	L41275cds RATCIP1A Rattus norvegicus p21 protein (cip1) gene, complete cds
L42293mRNA_at	29.0	A	0.218983	0.1	NC	0.500000	L42293mRNA MUSACACT Mus musculus acyl-coenzyme A:cholesterol acyltransferase (ACACT) mRNA, complete cds
L48209_s_at	3880.5	P	0.000388	0.3	I	0.000011	L48209 RATCOXVIII Rattus norvegicus liver cytochrome c oxidase subunit VIII (COX-VIII) mRNA, 3  end of cds
M10068mRNA_s_at	666.3	P	0.013092	0.0	NC	0.500000	M10068mRNA RATCYPOXM Rat NADPH-cytochrome P-450 oxidoreductase mRNA, complete cds
M11251cds_f_at	25.7	A	0.749276	-0.1	NC	0.500000	M11251cds RATCYPB1 Rat cytochrome P-450b (phenobarbital-inducible) gene, exon 1
M11794cds#2_f_at	777.6	M	0.043968	0.3	NC	0.101770	M11794cds#2 RATMT12C Rat metallothionein-2 and metallothionein-1 genes, complete cds
M11942_s_at	7413.3	P	0.000266	0.2	NC	0.046197	M11942 RATHSPA Rat 70 kd heat-shock-like protein mRNA, complete cds
M13011cds_at	737.9	P	0.001602	-0.0	NC	0.500000	M13011cds RATRASH1C Rat c-ras-H-1 gene, complete cds
M13234cds_f_at	54.6	A	0.541184	-0.9	NC	0.500000	M13234cds RATCYPEZ78 Rat cytochrome P-450e gene, exons 7 and 8
M15901mRNA_s_at	123.4	A	0.581931	0.3	NC	0.500000	M15901mRNA RATCRYB3B Rat beta-B3-2-crystallin mRNA, complete cds
M17701_s_at	6622.0	P	0.000219	0.4	I	0.000649	M17701 RATGAPDHA Rat glyceraldehyde-3-phosphate-dehydrogenase (GAPDH) mRNA, complete cds
M18335_f_at	29.2	A	0.541184	-0.5	NC	0.725202	M18335 RATCYP45Q Rat cytochrome P450 mRNA, complete cds
M18363cds_s_at	25.4	A	0.458809	1.2	NC	0.300289	M18363cds RATCY45M8 Rat cytochrome P-450(M-1) gene, exon 9
M19357cds_f_at	96.4	A	0.267463	-0.1	NC	0.500000	M19357cds RATCRYGF Rat gamma-F-crystallin (gamma 4-1) gene, complete cds
M19533mRNA_i_at	4619.4	P	0.001109	0.3	NC	0.003940	M19533mRNA RATCYCA Rat cyclophilin mRNA, complete cds
M20131cds_s_at	97.2	A	0.458816	-0.5	NC	0.810259	M20131cds RATCYP45I Rat cytochrome P450IIE1 gene, complete cds
M21060_s_at	1377.4	P	0.000266	-0.1	NC	0.500000	M21060 RATCUZNA Rat copper-zinc containing superoxide dismutase mRNA, complete cds
M21208mRNA_s_at	8.9	A	0.901946	-0.1	NC	0.500000	M21208mRNA RATCYPC17 Rat 17-alpha-hydoxylase cytochrome P-450 mRNA, 3  end
M21210_i_at	8.1	A	0.908203	-0.2	NC	0.323735	M21210 RATGSHPX Rattus norvegicus glutathione peroxidase (GSH-PO) mRNA, complete cds
M24239cds#2_f_at	101.3	A	0.073830	0.7	NC	0.500000	M24239cds#2 RATP450PB3 Rat cytochrome P450-1/PB-(ps) gene, exon 9
M24542cds_at	899.1	P	0.000266	0.1	NC	0.500000	M24542cds RATRIP Rat Rieske iron-sulfur protein mRNA, complete cds
M24542cds_g_at	2207.5	P	0.000388	0.1	NC	0.500000	M24542cds RATRIP Rat Rieske iron-sulfur protein mRNA, complete cds
M25157mRNA_i_at	975.9	A	0.531264	-0.3	NC	0.634147	M25157mRNA RATSODCZL Rat Cu, Zn superoxide dismutase mRNA, complete cds
M26127_s_at	53.1	P	0.035163	-0.7	NC	0.984962	M26127 RATP45ISF Rat cytochrome P-450 ISF/BNF-G mRNA
M26745cds_s_at	7.1	A	0.968664	-0.3	NC	0.500000	M26745cds RATIL6G Rat interleukin 6 (IL6) gene, complete cds
M27467_at	130.7	P	0.001602	0.6	NC	0.500000	M27467 RATCOXHRT Rattus norvegicus heart cytochrome oxidase subunit VIc (COX-VIc) mRNA, complete cds
M28255_s_at	9335.4	P	0.000219	0.2	I	0.000001	M28255 RATCYO8A Rat cytochrome c oxidase subunit VIII mRNA, 3  end
M28647_at	6.0	A	0.991311	0.1	NC	0.244512	M28647 RATNALPH1 Rattus norvegicus Na,K-ATPase alpha-1 subunit mRNA, complete cds
M28647_g_at	3962.1	P	0.000468	0.2	NC	0.053906	M28647 RATNALPH1 Rattus norvegicus Na,K-ATPase alpha-1 subunit mRNA, complete cds
M28648_s_at	1898.9	P	0.000219	0.2	NC	0.130945	M28648 RATNALPH2 Rattus norvegicus Na,K-ATPase alpha-2 subunit mRNA, 5  end
M29069cds_at	15.6	A	0.872355	-0.0	NC	0.112101	M29069cds RATMYCS Rat s-myc protein gene, complete cds
M31031mRNA_f_at	20.7	A	0.697453	0.5	NC	0.500000	M31031mRNA RATCYPF Rat cytochrome P-450f mRNA
M31363mRNA_f_at	5.7	A	0.901946	-0.3	NC	0.848129	M31363mRNA RATHSST Rat hydroxysteroid sulfotransferase mRNA, complete cds
M31931cds_s_at	12.7	A	0.810313	-0.3	NC	0.898230	M31931cds RATCYT45X9 Rat cytochrome P-450 (P-450olf1) gene, exon 9
M33312cds_s_at	247.4	A	0.138765	-0.4	NC	0.935065	M33312cds RATCYP2A1 Rat hepatic steroid hydroxylase IIA1 (CYP2A1) gene, complete cds
M33550cds_s_at	4.2	A	0.983000	-0.4	NC	0.500000	M33550cds RATP4515B8 Rat female-specific cytochrome P450 15-beta (CYP2C12) gene, exon 9
M33746mRNA#2_f_at	83.7	A	0.284747	0.1	NC	0.500000	M33746mRNA#2 RATUDPA Rat UDP glucuronosyltransferase-5 (UDPGTr-5) mRNA, complete cds
M38566mRNA_s_at	101.5	A	0.089405	0.1	NC	0.500000	M38566mRNA RATMTCYPCH Rat mitochondrial cytochrome P450 (P450C27) mRNA, complete cds
M57428_s_at	124.5	P	0.000959	-0.3	NC	0.500000	M57428 RATS6KIN3 Rat S6 kinase mRNA, compelete cds
M57718mRNA_s_at	43.9	A	0.679170	0.3	NC	0.500000	M57718mRNA RATCYP4A1 Rat cytochrome P-450 IV A1 (CYP4A1) gene, complete cds
M58041_s_at	25.3	A	0.621816	-0.8	NC	0.574166	M58041 RATCP450 Rat P49 cytochrome P450 mRNA, complete cds
M58495mRNA_at	5.2	A	0.951005	0.1	NC	0.130945	M58495mRNA RATQUINA R.norvegicus NAD(P)H: quinone reductase mRNA, complete cds
M59936cds_at	30.0	A	0.397994	-0.6	NC	0.500000	M59936cds RATCX31 Rat connexin-31 (Cx31) gene, complete cds
M60753_s_at	8.8	A	0.882840	0.1	NC	0.500000	M60753 RATCATAA R.norvegicus catechol-O-methyltransferase mRNA, complete cds
M61177_s_at	898.1	P	0.006532	0.1	NC	0.500000	M61177 RATERK1A Rat extracellular-signal-regulated kinase 1 (ERK1) mRNA, complete cds
M62388_at	657.5	P	0.000673	-0.0	NC	0.500000	M62388 RATUCE Rattus norvegicus ubiquitin conjugating enzyme mRNA, complete cds
M62388_g_at	172.8	P	0.001602	-0.3	NC	0.500000	M62388 RATUCE Rattus norvegicus ubiquitin conjugating enzyme mRNA, complete cds
M63983_s_at	267.3	P	0.000673	-0.1	NC	0.500000	M63983 RATHPRT Rat hypoxanthine phosphoribosyltransferase mRNA, complete cds
M64301_at	196.3	P	0.009985	-0.3	NC	0.574166	M64301 RATERK3 Rat extracellular signal-related kinase (ERK3) mRNA, complete cds
M64301_g_at	332.7	P	0.000959	-0.3	NC	0.965146	M64301 RATERK3 Rat extracellular signal-related kinase (ERK3) mRNA, complete cds
M64733mRNA_s_at	5887.9	P	0.000219	0.0	NC	0.500000	M64733mRNA RATTRPM2B Rat TRPM-2 gene, complete cds
M74439mRNA_i_at	322.4	P	0.021484	-0.1	NC	0.500000	M74439mRNA RATUDPGV Rattus rattus UDP glucuronosyltransferase gene, complete cds
M74776_at	7.6	A	0.679170	-2.5	NC	0.880608	M74776 HAMCBGA Mesocricetus auratus corticosteroid -binding globulin (CBG) mRNA, complete cds
M76533cds_at	61.5	A	0.189687	-0.6	D	0.998918	M76533cds RATCXN311A Rattus norvegicus connexin (CXN-311) gene, complete cds
M76534cds_at	49.1	A	0.438361	-0.2	NC	0.799953	M76534cds RATCXN33A Rat gap juction structural protein, connexin (CXN-33) gene, complete cds
M76535cds_at	386.0	A	0.098054	-0.2	NC	0.500000	M76535cds RATCXN40A Rat gap junction structural protein, connexin (CXN-40) gene, complete cds
M76535cds_g_at	28.8	A	0.765443	-0.1	NC	0.500000	M76535cds RATCXN40A Rat gap junction structural protein, connexin (CXN-40) gene, complete cds
M76704_s_at	122.4	A	0.234557	0.0	NC	0.500000	M76704 RATRMGMT Rat O-6-methylguanine-DNA methyltransferase (RMGMT) mRNA, complete cds
M76767_s_at	552.2	P	0.001141	0.1	NC	0.500000	M76767 RATFASA Rattus norvegicus fatty acid synthase mRNA, complete cds
M80784_s_at	71.2	A	0.150527	0.2	NC	0.382400	M80784 RATTGFBET R.norvegicus type III TGF-beta receptor mRNA, complete cds
M81766_at	318.3	M	0.048995	0.5	NC	0.119392	M81766 RATRCOR1A Rat nuclear receptor co-regulator 1 (RCoR-1) mRNA, complete cds
M86389cds_s_at	259.6	A	0.500000	1.9	I	0.002240	M86389cds RATHSP27A Rat heat shock protein (Hsp27) mRNA, complete cds
M91597_s_at	1735.5	P	0.000219	0.1	NC	0.447930	M91597 RATRBLNDP Sprague-Dawley (p18-12d) RBL-NDP kinase 18kDa subunit (p18) mRNA, complete cds
M91599mRNA_at	72.7	A	0.378184	-0.8	NC	0.991220	M91599mRNA RATFGR4A Rat fibroblast growth factor receptor subtype 4 (FGFR4) mRNA, complete cds
M91599mRNA_g_at	62.2	A	0.081337	-0.3	NC	0.848129	M91599mRNA RATFGR4A Rat fibroblast growth factor receptor subtype 4 (FGFR4) mRNA, complete cds
M96643_at	54.1	A	0.339558	-0.4	NC	0.887899	M96643 RATTGFB2A Rattus norvegicus transforming growth factor beta-2 mRNA, partial cds
M97197_at	36.7	A	0.892699	-0.2	NC	0.500000	M97197 RATPERREL Rat peroxisome proliferator responsive element
rc_AA926137_s_at	3023.2	P	0.000805	0.1	NC	0.500000	rc_AA926137 UI-R-A1-eq-g-04-0-UI.s1 UI-R-A1 Rattus norvegicus cDNA clone UI-R-A1-eq-g-04-0-UI 3  similar to gi|2317645|dbj|D55636|D55636 Homo sapiens mRNA for smallest subunit of ubiquinol-cytochrome c reductase, complete cds, mRNA sequence [Rattus norvegicus]
J04187_at	114.3	A	0.117160	-0.4	NC	0.603256	J04187 Rat cytochrome P450 IIA2 protein (CYP2A2) mRNA, complete cds /cds=(9,1487) /gb=J04187 /gi=204901 /ug=Rn.9867 /len=2259
M98820_at	51.4	A	0.358690	0.3	NC	0.403969	M98820 Rat interleukin 1-beta mRNA, complete cds /cds=(76,882) /gb=M98820 /gi=204905 /ug=Rn.9869 /len=1329
M98820_g_at	5.7	A	0.918663	-2.2	NC	0.659602	M98820 Rat interleukin 1-beta mRNA, complete cds /cds=(76,882) /gb=M98820 /gi=204905 /ug=Rn.9869 /len=1329
M22899_at	6.1	A	0.975289	0.0	NC	0.433177	M22899 Rat interleukin 2 mRNA, complete cds /cds=(14,481) /gb=M22899 /gi=204909 /ug=Rn.9871 /len=740
M55049_at	25.7	A	0.479380	0.2	NC	0.500000	M55049 Rattus norwegicus interleukin-2 receptor alpha chain (CD25) mRNA, complete cds /cds=(117,920) /gb=M55049 /gi=204911 /ug=Rn.9872 /len=1578
M55050_at	30.9	A	0.660442	-1.4	NC	0.507459	M55050 Rattus norwegicus interleukin-2 receptor beta chain (p70/75) mRNA, complete cds /cds=(111,1724) /gb=M55050 /gi=204913 /ug=Rn.5832 /len=2598
M33936_s_at	74.6	A	0.267463	-0.7	NC	0.679919	M33936 Rat Cyp4a locus, encoding cytochrome P450 (IVA3) mRNA, complete cds /cds=(12,1535) /gb=M33936 /gi=204989 /ug=Rn.11319 /len=2140
M33747_at	15.5	A	0.500000	-0.6	NC	0.829869	M33747 Rat UDP glucuronosyltransferase-21 (UDPGTr-21) mRNA, 3  end /cds=UNKNOWN /gb=M33747 /gi=207573 /ug=Rn.22521 /len=2216
L06040_s_at	14.3	A	0.910595	0.1	NC	0.105134	L06040 Rattus norvegicus 12-lipoxygenase mRNA, complete cds /cds=(19,2010) /gb=L06040 /gi=205212 /ug=Rn.11318 /len=2048
L03294_at	116.9	P	0.001892	0.0	NC	0.500000	L03294 Rattus norvegicus lipoprotein lipase mRNA, complete cds /cds=(174,1598) /gb=L03294 /gi=205214 /ug=Rn.3834 /len=3617
L03294_g_at	86.1	P	0.001602	-0.1	NC	0.552070	L03294 Rattus norvegicus lipoprotein lipase mRNA, complete cds /cds=(174,1598) /gb=L03294 /gi=205214 /ug=Rn.3834 /len=3617
J03960_at	8.7	A	0.849473	-0.4	NC	0.566823	J03960 Rat 5-lipoxygenase mRNA, complete cds /cds=(91,2103) /gb=J03960 /gi=205228 /ug=Rn.9662 /len=2535
M81855_at	6.0	A	0.765443	0.0	NC	0.500000	M81855 Rat mdr mRNA sequence /cds=UNKNOWN /gb=M81855 /gi=205360 /ug=Rn.9679 /len=4254
L14936_at	296.2	A	0.204022	0.5	NC	0.389553	L14936 Rattus norvegicus MAP kinase kinase (MKK2) mRNA, complete cds /cds=(29,1231) /gb=L14936 /gi=349544 /ug=Rn.7194 /len=1364
L19998_at	80.8	P	0.009985	0.2	NC	0.500000	L19998 Rat minoxidil sulfotransferase mRNA, complete cds /cds=(77,952) /gb=L19998 /gi=310178 /ug=Rn.1507 /len=1227
L19998_g_at	252.1	P	0.000388	-0.2	NC	0.507459	L19998 Rat minoxidil sulfotransferase mRNA, complete cds /cds=(77,952) /gb=L19998 /gi=310178 /ug=Rn.1507 /len=1227
M92042_at	100.9	A	0.438361	-0.5	NC	0.755488	M92042 Rat N-heparan sulfate sulfotransferase mRNA, complete cds /cds=(446,3094) /gb=M92042 /gi=205702 /ug=Rn.9705 /len=4051
M29853_at	13.8	A	0.810313	-0.3	NC	0.725202	M29853 Rat cytochrome P-450 isozyme 5 (P450 IVB2) mRNA, complete cds /cds=(2,1537) /gb=M29853 /gi=205911 /ug=Rn.6143 /len=1920
U03470_at	17.7	A	0.837065	-0.2	NC	0.500000	U03470 Rattus norvegicus Fas antigen ligand mRNA, complete cds /cds=(73,909) /gb=U03470 /gi=440178 /ug=Rn.9725 /len=1623
K03249_at	8.5	A	0.882840	-0.2	NC	0.500000	K03249 Rat peroxisomal enoyl-CoA- hydrotase-3-hydroxyacyl-CoA bifunctional enzyme mRNA, complete cds /cds=(21,2189) /gb=K03249 /gi=206068 /ug=Rn.3671 /len=3097
L24896_s_at	2317.2	P	0.000219	0.2	NC	0.300289	L24896 Rattus norvegicus phospholipid hydroperoxide glutathione peroxidase mRNA, complete cds /cds=(24,536) /gb=L24896 /gi=406110 /ug=Rn.3647 /len=755
M15114_at	5.8	A	0.933135	-0.3	NC	0.500000	M15114 Rat DNA polymerase alpha mRNA, 3  end /cds=UNKNOWN /gb=M15114 /gi=206274 /ug=Rn.2627 /len=1169
M15114_g_at	3582.5	P	0.000219	0.2	NC	0.010725	M15114 Rat DNA polymerase alpha mRNA, 3  end /cds=UNKNOWN /gb=M15114 /gi=206274 /ug=Rn.2627 /len=1169
M88592_at	95.2	A	0.089405	0.0	NC	0.500000	M88592 Rattus rattus peroxisome proliferator activated receptor (PPAR) mRNA, complete cds /cds=(377,1783) /gb=M88592 /gi=206317 /ug=Rn.9753 /len=2022
M95578_at	24.0	A	0.939581	-0.1	NC	0.706183	M95578 Rattus notvegicus Sprague-Dawley interleukin-1 receptor type I mRNA, complete cds /cds=(321,2093) /gb=M95578 /gi=451305 /ug=Rn.9758 /len=2187
M95578_g_at	33.2	A	0.397994	1.7	NC	0.500000	M95578 Rattus notvegicus Sprague-Dawley interleukin-1 receptor type I mRNA, complete cds /cds=(321,2093) /gb=M95578 /gi=451305 /ug=Rn.9758 /len=2187
L00981mRNA#1_at	24.4	A	0.679170	-0.7	NC	0.500000	L00981mRNA#1 Rattus norvegicus lymphotoxin (TNF-beta) gene, complete cds, tumor necrosis factor (TNF-alpha) gene, complete cds /cds=(151,759) /gb=L00981 /gi=205253 /ug=Rn.9820 /len=1341
M15427_s_at	466.3	P	0.002617	-0.1	NC	0.500000	M15427 Rat c-raf protooncogene mRNA encoding raf protein, complete cds /cds=(40,1986) /gb=M15427 /gi=206544 /ug=Rn.5936 /len=2524
D17309_at	140.1	A	0.138765	-0.6	NC	0.514916	D17309 Rat mRNA for delta-4-3-ketosteroid 5-beta-reductase, complete cds /cds=(40,1020) /gb=D17309 /gi=450474 /ug=Rn.18087 /len=3189
L06482_at	33.0	A	0.732537	-0.3	NC	0.876840	L06482 Rat retinoid X receptor alpha mRNA, complete cds /cds=(167,1570) /gb=L06482 /gi=206818 /ug=Rn.8121 /len=2130
L27128_at	420.9	P	0.003067	-0.1	NC	0.514916	L27128 Rattus norvegicus stress activated protein kinase beta isoform mRNA, complete cds /cds=(363,1643) /gb=L27128 /gi=493210 /ug=Rn.9911 /len=1975
J02585_at	124.7	P	0.021866	-0.2	NC	0.500000	J02585 Rat liver stearyl-CoA desaturase mRNA, complete cds /cds=(102,1178) /gb=J02585 /gi=206859 /ug=Rn.10982 /len=4689
L26913_at	91.1	A	0.500000	-0.3	NC	0.500000	L26913 Rattus Norvegicus interleukin-13 (IL-13) mRNA, complete cds /cds=(0,395) /gb=L26913 /gi=438875 /ug=Rn.9921 /len=443
U05989_at	29.0	A	0.189687	-0.7	NC	0.725202	U05989 Rattus norvegicus clone par-4 induced by effectors of apoptosis mRNA, complete cds /cds=(66,1064) /gb=U05989 /gi=456281 /ug=Rn.9127 /len=2122
L22339_at	5.4	A	0.945530	0.3	NC	0.500000	L22339 Rat N-hydroxy-2-acetylaminofluorene (ST1C1) mRNA, complete cds /cds=(24,938) /gb=L22339 /gi=440840 /ug=Rn.9937 /len=1363
L22339_g_at	27.4	A	0.520620	-0.5	NC	0.500000	L22339 Rat N-hydroxy-2-acetylaminofluorene (ST1C1) mRNA, complete cds /cds=(24,938) /gb=L22339 /gi=440840 /ug=Rn.9937 /len=1363
M95058complete_seq_at	5.8	A	0.980696	-0.2	NC	0.500000	M95058completeSeq Rattus rattus steroid 5-alpha-reductase 2 mRNA, complete cds /cds=UNKNOWN /gb=M95058 /gi=207074 /ug=Rn.9938 /len=1798
M33329_f_at	35.4	A	0.358690	0.2	NC	0.500000	M33329 Rat hydroxysteroid sulfotransferase a (STa) mRNA, complete cds /cds=(37,891) /gb=M33329 /gi=207076 /ug=Rn.2601 /len=1000
M31076_at	61.0	A	0.418069	0.7	NC	0.500000	M31076 Rat transforming growth factor alpha (TGF-alpha) mRNA, complete cds, clone 22A1/22A3 /cds=(144,623) /gb=M31076 /gi=207281 /ug=Rn.9952 /len=4207
L09653_s_at	25.7	A	0.732537	-0.6	NC	0.500000	L09653 Rattus norvegicus transforming growth factor-b type II receptor mRNA, complete cds /cds=(58,1761) /gb=L09653 /gi=207289 /ug=Rn.9954 /len=1792
M63122_at	46.0	A	0.765443	-0.1	NC	0.500000	M63122 Rat tumor necrosis factor receptor (TNF receptor) mRNA, complete cds /cds=(237,1622) /gb=M63122 /gi=207361 /ug=Rn.11119 /len=2130
M58040_at	111.0	P	0.001354	-0.3	NC	0.755488	M58040 Rat transferrin receptor mRNA, 3  end /cds=(0,1869) /gb=M58040 /gi=207463 /ug=Rn.9961 /len=3413
M13506_at	13.4	A	0.765443	-0.3	NC	0.693175	M13506 Rat liver UDP-glucuronosyltransferase, phenobarbital-inducible form mRNA, complete cds /cds=(25,1614) /gb=M13506 /gi=207580 /ug=Rn.9969 /len=1961
J02589mRNA#2_at	2.5	A	0.951005	-0.8	NC	0.500000	J02589mRNA#2 Rat UDP glucuronosyltransferase, complete cds /cds=(32,1624) /gb=J02589 /gi=207582 /ug=Rn.2521 /len=2634
J05132_s_at	186.3	A	0.189687	-0.3	NC	0.891423	J05132 Rat 3-methylcholanthrene-inducible truncated UDP-glucuronosyltransferase mRNA, complete cds /cds=(262,1506) /gb=J05132 /gi=207602 /ug=Rn.11197 /len=2484
L04619_s_at	6.2	A	0.732537	-0.2	NC	0.500000	L04619 Rattus norvegicus 25-hydroxyvitamin D3 24-hydroxylase (CYP24) gene /cds=(356,1900) /gb=L04619 /gi=207669 /ug=Rn.21390 /len=1910
M26125_at	130.0	P	0.039365	0.2	NC	0.500000	M26125 Rat epoxide hydrolase mRNA, complete cds /cds=(148,1515) /gb=M26125 /gi=207688 /ug=Rn.3603 /len=1733
M61875_s_at	43.9	A	0.581931	0.1	NC	0.500000	M61875 Rattus norvegicus glycoprotein CD44 (CD44) mRNA, complete cds /cds=(112,1206) /gb=M61875 /gi=576532 /ug=Rn.1120 /len=2747
L14680_at	17.4	A	0.765443	1.4	NC	0.326797	L14680 Rattus norvegicus bcl-2 mRNA, complete cds /cds=(234,944) /gb=L14680 /gi=408946 /ug=Rn.9996 /len=1179
L14680_g_at	127.5	A	0.081337	-0.2	NC	0.500000	L14680 Rattus norvegicus bcl-2 mRNA, complete cds /cds=(234,944) /gb=L14680 /gi=408946 /ug=Rn.9996 /len=1179
U12187_at	87.4	A	0.107301	-0.4	NC	0.552070	U12187 Rattus norvegicus ras-related protein (rad) mRNA, complete cds /cds=(258,1064) /gb=U12187 /gi=595472 /ug=Rn.11189 /len=1421
U09793_at	191.0	P	0.002617	-0.2	NC	0.610447	U09793 Rattus norvegicus p21 (c-Ki-ras) mRNA, complete cds /cds=(0,566) /gb=U09793 /gi=495533 /ug=Rn.10007 /len=661
U04738_at	136.0	P	0.021866	-0.0	NC	0.500000	U04738 Rattus norvegicus Sprague-Dawley major hippocampal somatostatin receptor (SSTR4) mRNA, complete cds /cds=(58,1212) /gb=U04738 /gi=469168 /ug=Rn.9936 /len=1865
L23088_at	75.0	A	0.267463	-0.2	NC	0.500000	L23088 Rattus norvegicus P-selectin mRNA, complete cds /cds=(18,2324) /gb=L23088 /gi=349552 /ug=Rn.10012 /len=3185
D16554_at	12028.7	P	0.000219	0.2	I	0.000003	D16554 Rat mRNA for polyubiquitin (four repetitive ubiquitins in tandem), complete cds /cds=(63,980) /gb=D16554 /gi=471155 /ug=Rn.1253 /len=1115
M37828_at	156.6	A	0.267463	-0.7	NC	0.982699	M37828 Rat cytochrome P450 mRNA, complete cds /cds=(4,1530) /gb=M37828 /gi=203756 /ug=Rn.10034 /len=1957
L36459_at	53.7	A	0.175989	1.3	NC	0.969251	L36459 Rattus norvegicus gfi-2 mRNA, complete cds /cds=(12,1415) /gb=L36459 /gi=598371 /ug=Rn.10045 /len=3692
L38615_at	26.7	A	0.621816	-0.8	NC	0.645790	L38615 Rattus norvegicus glutathione synthetase mRNA, complete cds /cds=(44,1468) /gb=L38615 /gi=755063 /ug=Rn.1692 /len=1882
L38615_g_at	288.8	A	0.621816	-0.2	NC	0.686578	L38615 Rattus norvegicus glutathione synthetase mRNA, complete cds /cds=(44,1468) /gb=L38615 /gi=755063 /ug=Rn.1692 /len=1882
U10697_s_at	36.9	A	0.302547	0.5	NC	0.500000	U10697 Rattus norvegicus kidney microsomal carboxylesterase mRNA,  complete cds /cds=(12,1699) /gb=U10697 /gi=562007 /ug=Rn.10050 /len=1885
U03491_at	121.7	A	0.218983	0.0	NC	0.500000	U03491 Rattus norvegicus Wistar transforming growth factor beta-3 mRNA, complete cds /cds=(398,1636) /gb=U03491 /gi=424131 /ug=Rn.7018 /len=2614
U03491_g_at	80.2	A	0.397994	0.5	NC	0.500000	U03491 Rattus norvegicus Wistar transforming growth factor beta-3 mRNA, complete cds /cds=(398,1636) /gb=U03491 /gi=424131 /ug=Rn.7018 /len=2614
U01344_at	5.7	A	0.795978	-2.7	NC	0.799953	U01344 Rattus norvegicus clone A-2 arylamine N-acetyltransferase mRNA,  complete cds /cds=(975,1847) /gb=U01344 /gi=786257 /ug=Rn.11112 /len=2533
U01344_g_at	37.9	A	0.073830	-0.3	NC	0.500000	U01344 Rattus norvegicus clone A-2 arylamine N-acetyltransferase mRNA,  complete cds /cds=(975,1847) /gb=U01344 /gi=786257 /ug=Rn.11112 /len=2533
U01348_at	2.0	A	0.910595	-0.3	NC	0.976265	U01348 Rattus norvegicus clone B-0/7 arylamine N-acetyltransferase mRNA,  complete cds /cds=(321,1193) /gb=U01348 /gi=786265 /ug=Rn.11112 /len=1385
U01348_g_at	14.0	A	0.951005	-0.2	NC	0.500000	U01348 Rattus norvegicus clone B-0/7 arylamine N-acetyltransferase mRNA,  complete cds /cds=(321,1193) /gb=U01348 /gi=786265 /ug=Rn.11112 /len=1385
